"","Exp3_A_Sample_1","Exp3_A_Sample_2","Exp3_B_Sample_1","Exp3_B_Sample_2","Exp3_C_Sample_1","Exp3_C_Sample_2"
"ENSG00000005384",44,27,20,12,30,22
"ENSG00000005385",72,51,36,37,60,20
"ENSG00000005386",26,31,13,19,32,6
"ENSG00000005387",3,8,2,7,3,3
"ENSG00000005388",0,0,0,0,2,3
"ENSG00000005389",5,4,1,2,0,1
"ENSG00000005390",0,0,0,2,2,1
"ENSG00000005391",76,64,43,65,43,41
"ENSG00000005392",54,51,16,20,71,7
"ENSG00000005393",47,23,7,20,17,27
"ENSG00000005394",0,0,1,1,1,0
"ENSG00000005395",0,0,0,2,0,0
"ENSG00000005396",0,1,0,2,1,0
"ENSG00000005397",17,19,29,6,23,23
"ENSG00000005398",2,1,0,1,1,0
"ENSG00000005399",297,84,212,124,220,188
"ENSG00000005400",1,0,1,2,0,0
"ENSG00000005401",0,1,0,0,0,1
"ENSG00000005402",2,0,1,1,0,0
"ENSG00000005403",1,0,1,2,2,0
"ENSG00000005404",0,1,1,0,0,0
"ENSG00000005405",2,0,2,1,1,0
"ENSG00000005406",7,0,0,1,0,2
"ENSG00000005407",1,0,0,0,1,0
"ENSG00000005408",0,0,1,1,0,2
"ENSG00000005409",3,2,5,0,5,6
"ENSG00000005410",1,1,0,0,0,1
"ENSG00000005411",0,0,0,2,0,0
"ENSG00000005412",0,1,0,0,0,2
"ENSG00000005413",20,17,5,4,8,15
"ENSG00000005414",146,240,47,160,302,253
"ENSG00000005415",0,0,0,0,0,0
"ENSG00000005416",389,860,577,902,1149,325
"ENSG00000005417",12,12,6,10,6,8
"ENSG00000005418",28,32,14,13,22,26
"ENSG00000005419",3,2,1,4,5,0
"ENSG00000005420",0,0,0,0,0,0
"ENSG00000005421",1,0,1,0,0,0
"ENSG00000005422",53,26,52,18,3,12
"ENSG00000005423",0,0,1,0,1,1
"ENSG00000005424",119,274,459,368,181,305
"ENSG00000005425",27,4,5,16,21,7
"ENSG00000005426",190,397,378,164,147,220
"ENSG00000005427",2,2,0,0,0,1
"ENSG00000005428",2,0,0,0,0,1
"ENSG00000005429",1,0,1,0,1,0
"ENSG00000005430",14,13,9,9,7,13
"ENSG00000005431",1,2,0,1,1,0
"ENSG00000005432",13,19,3,15,22,7
"ENSG00000005433",0,1,0,1,0,1
"ENSG00000005434",0,1,2,1,0,0
"ENSG00000005435",21,10,8,3,17,8
"ENSG00000005436",306,215,244,254,662,631
"ENSG00000005437",0,3,0,0,0,1
"ENSG00000005438",3,0,1,1,0,1
"ENSG00000005439",3,7,2,8,4,1
"ENSG00000005440",1,0,1,1,0,0
"ENSG00000005441",0,2,1,0,1,0
"ENSG00000005442",2,0,0,0,1,0
"ENSG00000005443",0,0,0,0,0,0
"ENSG00000005444",0,0,0,0,0,0
"ENSG00000005445",1,1,0,1,0,1
"ENSG00000005446",743,347,275,136,373,311
"ENSG00000005447",6,11,6,7,4,0
"ENSG00000005448",741,662,196,332,668,383
"ENSG00000005449",20,14,20,3,7,7
"ENSG00000005450",8,20,3,8,10,3
"ENSG00000005451",0,0,0,1,0,0
"ENSG00000005452",2,1,2,1,3,4
"ENSG00000005453",6,35,14,17,12,24
"ENSG00000005454",77,49,36,29,21,47
"ENSG00000005455",0,0,0,0,0,0
"ENSG00000005456",216,240,81,80,239,119
"ENSG00000005457",201,194,183,198,220,211
"ENSG00000005458",0,1,0,0,1,0
"ENSG00000005459",9,1,4,12,1,5
"ENSG00000005460",76,40,36,42,51,113
"ENSG00000005461",68,78,121,57,113,137
"ENSG00000005462",1,1,0,0,0,0
"ENSG00000005463",25,5,25,24,10,2
"ENSG00000005464",0,0,1,0,0,0
"ENSG00000005465",86,18,34,32,57,28
"ENSG00000005466",1,0,0,0,1,0
"ENSG00000005467",17413,15713,13867,8429,18434,17090
"ENSG00000005468",2,1,2,0,0,0
"ENSG00000005469",7,5,1,4,5,5
"ENSG00000005470",88,62,54,51,32,90
"ENSG00000005471",121,100,185,120,134,34
"ENSG00000005472",17,52,10,54,24,18
"ENSG00000005473",4,33,9,13,8,19
"ENSG00000005474",16,6,9,18,9,17
"ENSG00000005475",233,77,169,180,111,112
"ENSG00000005476",0,0,1,0,1,0
"ENSG00000005477",14,5,9,7,7,4
"ENSG00000005478",382,118,210,148,239,200
"ENSG00000005479",246,113,336,305,322,354
"ENSG00000005480",7,11,9,7,15,6
"ENSG00000005481",30,17,6,21,2,10
"ENSG00000005482",366,378,782,218,141,352
"ENSG00000005483",382,292,374,169,142,286
"ENSG00000005484",165,381,243,352,244,81
"ENSG00000005485",5,5,3,2,0,7
"ENSG00000005486",0,0,1,1,1,1
"ENSG00000005487",286,170,92,251,117,52
"ENSG00000005488",0,0,0,0,0,0
"ENSG00000005489",438,277,232,254,256,312
"ENSG00000005490",2,5,1,2,0,0
"ENSG00000005491",596,288,851,486,335,233
"ENSG00000005492",5,14,11,17,15,7
"ENSG00000005493",11,21,15,15,25,25
"ENSG00000005494",62,43,19,26,9,63
"ENSG00000005495",12,5,2,8,7,5
"ENSG00000005496",0,1,0,0,0,2
"ENSG00000005497",1,5,8,1,3,2
"ENSG00000005498",26,39,23,43,22,16
"ENSG00000005499",2,3,5,3,2,0
"ENSG00000005500",5,7,9,4,6,5
"ENSG00000005501",136,14,30,75,213,65
"ENSG00000005502",2,1,1,0,0,1
"ENSG00000005503",5,10,18,22,3,9
"ENSG00000005504",0,0,1,0,1,1
"ENSG00000005505",0,1,0,0,0,0
"ENSG00000005506",13,7,17,13,10,16
"ENSG00000005507",43,109,36,45,74,102
"ENSG00000005508",1,0,0,0,1,1
"ENSG00000005509",182,46,16,96,67,37
"ENSG00000005510",2,0,0,0,1,1
"ENSG00000005511",0,0,0,0,0,0
"ENSG00000005512",155,274,90,284,141,357
"ENSG00000005513",0,0,1,1,0,2
"ENSG00000005514",95,80,159,105,166,178
"ENSG00000005515",0,1,0,0,0,2
"ENSG00000005516",8,26,5,6,13,2
"ENSG00000005517",23,43,35,103,82,49
"ENSG00000005518",47,52,78,62,28,32
"ENSG00000005519",265,264,220,153,478,189
"ENSG00000005520",150,37,213,149,96,76
"ENSG00000005521",7,6,3,1,3,3
"ENSG00000005522",5,9,5,8,9,1
"ENSG00000005523",12,7,13,9,8,14
"ENSG00000005524",123,63,42,20,163,60
"ENSG00000005525",0,3,1,1,3,0
"ENSG00000005526",160,227,183,95,149,49
"ENSG00000005527",76,19,11,11,28,27
"ENSG00000005528",0,0,2,1,1,1
"ENSG00000005529",2,0,1,0,2,1
"ENSG00000005530",0,0,1,0,0,0
"ENSG00000005531",0,0,0,0,1,0
"ENSG00000005532",3,4,3,8,2,2
"ENSG00000005533",9,17,1,6,7,2
"ENSG00000005534",0,0,0,0,0,0
"ENSG00000005535",2,1,1,2,2,1
"ENSG00000005536",4,2,0,1,1,2
"ENSG00000005537",121,91,187,66,107,121
"ENSG00000005538",1,0,0,3,0,0
"ENSG00000005539",14,6,4,5,11,10
"ENSG00000005540",2757,1026,889,2946,1507,1137
"ENSG00000005541",12,4,9,10,12,3
"ENSG00000005542",16,8,4,4,8,9
"ENSG00000005543",47,53,96,33,82,91
"ENSG00000005544",0,0,1,1,0,0
"ENSG00000005545",109,121,122,130,109,86
"ENSG00000005546",4541,4625,2113,5435,3124,6386
"ENSG00000005547",1460,390,491,1528,1181,536
"ENSG00000005548",236,116,373,175,164,209
"ENSG00000005549",0,0,0,0,0,0
"ENSG00000005550",1,15,4,10,9,10
"ENSG00000005551",0,0,0,0,2,0
"ENSG00000005552",0,0,0,0,0,0
"ENSG00000005553",0,0,1,0,1,0
"ENSG00000005554",22,59,46,98,30,18
"ENSG00000005555",4,5,2,1,4,0
"ENSG00000005556",3,5,12,5,14,7
"ENSG00000005557",2,2,0,0,0,0
"ENSG00000005558",12,37,22,24,3,28
"ENSG00000005559",331,183,81,435,347,135
"ENSG00000005560",0,0,1,1,0,0
"ENSG00000005561",0,1,0,0,0,0
"ENSG00000005562",2,4,8,3,5,7
"ENSG00000005563",23,57,61,80,44,12
"ENSG00000005564",9,12,8,3,9,5
"ENSG00000005565",15,24,13,12,7,12
"ENSG00000005566",38,30,48,9,27,30
"ENSG00000005567",12,22,9,9,27,24
"ENSG00000005568",4,3,1,0,2,2
"ENSG00000005569",0,4,1,2,1,3
"ENSG00000005570",57,38,11,43,10,36
"ENSG00000005571",16,84,32,34,69,26
"ENSG00000005572",21,26,23,30,47,20
"ENSG00000005573",86,64,56,49,71,24
"ENSG00000005574",1,1,0,1,0,0
"ENSG00000005575",8,9,7,6,22,5
"ENSG00000005576",0,0,1,0,2,0
"ENSG00000005577",499,234,156,432,402,444
"ENSG00000005578",5,2,3,0,8,9
"ENSG00000005579",0,1,0,1,0,2
"ENSG00000005580",0,1,0,1,1,1
"ENSG00000005581",2,1,2,0,1,1
"ENSG00000005582",0,0,1,0,0,0
"ENSG00000005583",498,328,532,485,57,449
"ENSG00000005584",24,7,22,21,13,24
"ENSG00000005585",1,0,1,0,0,0
"ENSG00000005586",4,0,1,1,0,0
"ENSG00000005587",1,0,0,2,0,0
"ENSG00000005588",0,0,0,1,0,1
"ENSG00000005589",37,115,46,22,23,92
"ENSG00000005590",5,1,1,0,6,0
"ENSG00000005591",358,101,163,385,402,195
"ENSG00000005592",119,76,59,104,94,46
"ENSG00000005593",6,7,8,7,18,7
"ENSG00000005594",88,47,41,90,75,55
"ENSG00000005595",0,0,0,0,0,0
"ENSG00000005596",0,0,0,0,0,0
"ENSG00000005597",28,24,21,64,52,54
"ENSG00000005598",0,0,0,0,1,0
"ENSG00000005599",0,0,0,0,0,0
"ENSG00000005600",44,66,34,37,94,95
"ENSG00000005601",1,0,0,0,0,0
"ENSG00000005602",0,0,0,0,0,1
"ENSG00000005603",0,1,0,1,1,0
"ENSG00000005604",57,75,12,66,24,25
"ENSG00000005605",0,0,0,0,0,0
"ENSG00000005606",2,7,0,5,8,0
"ENSG00000005607",8,11,2,5,5,1
"ENSG00000005608",0,0,2,2,1,0
"ENSG00000005609",15,2,2,19,21,12
"ENSG00000005610",1,0,0,2,1,0
"ENSG00000005611",33,12,14,58,22,21
"ENSG00000005612",1005,1072,795,553,571,609
"ENSG00000005613",1,0,0,0,1,1
"ENSG00000005614",1,2,2,0,0,0
"ENSG00000005615",0,2,1,0,1,0
"ENSG00000005616",13,33,14,21,31,25
"ENSG00000005617",0,1,0,0,1,0
"ENSG00000005618",1,0,1,1,0,0
"ENSG00000005619",22,139,45,34,29,53
"ENSG00000005620",0,0,0,0,0,1
"ENSG00000005621",32,139,91,25,58,34
"ENSG00000005622",9,9,6,4,16,13
"ENSG00000005623",138,83,31,145,91,36
"ENSG00000005624",2,1,0,2,0,0
"ENSG00000005625",31,19,13,10,5,16
"ENSG00000005626",309,259,238,253,211,349
"ENSG00000005627",0,0,1,4,0,0
"ENSG00000005628",1,4,3,0,6,0
"ENSG00000005629",0,0,1,0,0,0
"ENSG00000005630",0,0,0,0,2,0
"ENSG00000005631",1,0,1,0,0,0
"ENSG00000005632",3,18,10,11,10,8
"ENSG00000005633",85,18,40,119,51,85
"ENSG00000005634",1,0,0,1,0,1
"ENSG00000005635",1,0,0,1,0,0
"ENSG00000005636",3,4,0,1,0,0
"ENSG00000005637",1,0,0,0,0,0
"ENSG00000005638",1,0,0,1,1,0
"ENSG00000005639",2,1,1,0,0,0
"ENSG00000005640",390,1124,700,681,763,542
"ENSG00000005641",2,9,5,10,11,11
"ENSG00000005642",33,119,84,79,74,123
"ENSG00000005643",0,1,0,0,1,1
"ENSG00000005644",0,1,0,2,0,1
"ENSG00000005645",17,19,13,11,18,10
"ENSG00000005646",105,93,125,121,237,112
"ENSG00000005647",7,14,16,21,19,34
"ENSG00000005648",0,0,1,0,0,1
"ENSG00000005649",66,48,100,27,92,57
"ENSG00000005650",47,32,23,22,49,22
"ENSG00000005651",377,102,123,123,63,134
"ENSG00000005652",21,49,28,27,21,6
"ENSG00000005653",999,584,526,801,1242,1563
"ENSG00000005654",1,2,0,0,1,3
"ENSG00000005655",0,1,1,0,0,1
"ENSG00000005656",406,450,404,460,1015,277
"ENSG00000005657",16,14,4,7,8,6
"ENSG00000005658",128,39,43,106,59,58
"ENSG00000005659",0,0,1,1,1,0
"ENSG00000005660",7,6,1,10,4,16
"ENSG00000005661",1,1,1,0,0,1
"ENSG00000005662",5,16,8,7,10,15
"ENSG00000005663",1,0,0,0,0,0
"ENSG00000005664",0,1,0,0,0,0
"ENSG00000005665",0,0,1,0,1,0
"ENSG00000005666",2,3,1,2,0,2
"ENSG00000005667",68,27,56,59,77,46
"ENSG00000005668",53,65,25,29,44,55
"ENSG00000005669",0,0,0,0,0,0
"ENSG00000005670",34,18,29,33,6,17
"ENSG00000005671",42,9,28,10,22,37
"ENSG00000005672",118,169,90,31,62,65
"ENSG00000005673",1,2,1,7,2,1
"ENSG00000005674",169,330,108,180,172,244
"ENSG00000005675",2,0,0,0,0,1
"ENSG00000005676",6763,2518,233,568,2526,1398
"ENSG00000005677",401,459,231,251,355,375
"ENSG00000005678",6,1,7,2,1,8
"ENSG00000005679",0,0,2,2,1,0
"ENSG00000005680",7,8,4,7,6,2
"ENSG00000005681",1,0,0,2,0,1
"ENSG00000005682",1,0,0,2,0,0
"ENSG00000005683",26,3,5,13,6,12
"ENSG00000005684",4,2,2,4,2,3
"ENSG00000005685",28,62,42,54,26,27
"ENSG00000005686",1,0,0,0,0,0
"ENSG00000005687",0,0,0,0,0,0
"ENSG00000005688",30,25,5,14,15,6
"ENSG00000005689",141,151,151,193,276,123
"ENSG00000005690",214,319,209,267,110,115
"ENSG00000005691",0,0,1,2,0,0
"ENSG00000005692",8,8,3,1,3,11
"ENSG00000005693",110,145,69,288,157,124
"ENSG00000005694",0,0,1,0,0,0
"ENSG00000005695",174,231,151,153,174,136
"ENSG00000005696",291,103,147,196,178,209
"ENSG00000005697",26,19,5,28,36,18
"ENSG00000005698",0,0,0,0,0,0
"ENSG00000005699",1,1,0,2,1,2
"ENSG00000005700",0,0,0,0,0,1
"ENSG00000005701",2,12,0,5,5,13
"ENSG00000005702",1,0,1,1,0,0
"ENSG00000005703",0,0,0,1,1,0
"ENSG00000005704",7,2,0,1,1,1
"ENSG00000005705",15,31,12,23,33,43
"ENSG00000005706",19,57,37,18,22,52
"ENSG00000005707",12,3,4,8,23,6
"ENSG00000005708",0,0,0,0,0,0
"ENSG00000005709",133,88,60,123,84,80
"ENSG00000005710",8,5,3,19,8,9
"ENSG00000005711",99,114,101,66,78,184
"ENSG00000005712",42,87,108,74,89,59
"ENSG00000005713",833,588,962,454,599,995
"ENSG00000005714",2,0,0,0,1,0
"ENSG00000005715",2,3,0,0,2,0
"ENSG00000005716",0,0,0,0,0,0
"ENSG00000005717",161,98,83,76,67,64
"ENSG00000005718",1,3,0,0,0,0
"ENSG00000005719",1,0,1,0,0,0
"ENSG00000005720",0,0,0,0,0,1
"ENSG00000005721",4,8,11,6,3,3
"ENSG00000005722",0,1,0,0,1,0
"ENSG00000005723",3,2,6,2,2,2
"ENSG00000005724",1,0,1,0,0,1
"ENSG00000005725",2,0,0,0,0,1
"ENSG00000005726",0,1,1,0,0,0
"ENSG00000005727",3,2,6,3,5,2
"ENSG00000005728",4,6,5,2,1,2
"ENSG00000005729",0,0,0,0,0,0
"ENSG00000005730",0,0,0,0,2,0
"ENSG00000005731",20,13,13,24,28,32
"ENSG00000005732",536,267,134,228,504,371
"ENSG00000005733",0,2,1,3,2,2
"ENSG00000005734",44,72,50,49,36,54
"ENSG00000005735",0,0,0,0,0,0
"ENSG00000005736",14,6,6,17,15,8
"ENSG00000005737",0,0,0,0,0,0
"ENSG00000005738",199,186,186,213,34,155
"ENSG00000005739",0,0,0,0,0,0
"ENSG00000005740",0,0,1,1,1,1
"ENSG00000005741",154,70,98,44,150,19
"ENSG00000005742",0,1,0,0,0,0
"ENSG00000005743",2,0,0,0,1,0
"ENSG00000005744",6,5,0,7,5,2
"ENSG00000005745",1,0,0,1,0,1
"ENSG00000005746",19,34,25,31,20,25
"ENSG00000005747",1,0,0,0,0,0
"ENSG00000005748",6,1,2,3,3,2
"ENSG00000005749",0,2,4,4,6,2
"ENSG00000005750",0,0,0,0,1,0
"ENSG00000005751",17,44,36,55,47,9
"ENSG00000005752",0,0,0,0,0,1
"ENSG00000005753",1,0,0,0,0,2
"ENSG00000005754",729,703,314,342,332,174
"ENSG00000005755",8,11,16,7,5,18
"ENSG00000005756",1550,1388,874,447,1265,666
"ENSG00000005757",1,0,0,1,1,0
"ENSG00000005758",0,1,0,2,0,0
"ENSG00000005759",1,1,1,1,1,0
"ENSG00000005760",29,4,9,6,14,7
"ENSG00000005761",18,6,2,23,13,5
"ENSG00000005762",1275,581,718,415,327,215
"ENSG00000005763",1,1,0,0,3,0
"ENSG00000005764",172,119,206,180,109,153
"ENSG00000005765",35,18,12,18,38,10
"ENSG00000005766",1,1,1,0,1,0
"ENSG00000005767",189,103,133,155,206,220
"ENSG00000005768",1,1,0,0,1,0
"ENSG00000005769",100,55,72,110,88,41
"ENSG00000005770",8,20,13,13,11,5
"ENSG00000005771",24,9,10,8,11,2
"ENSG00000005772",1,2,4,2,0,1
"ENSG00000005773",25,14,6,22,14,8
"ENSG00000005774",1,1,0,0,1,0
"ENSG00000005775",1,0,0,0,1,0
"ENSG00000005776",8,22,15,31,22,22
"ENSG00000005777",13,8,7,9,8,16
"ENSG00000005778",0,0,2,0,0,1
"ENSG00000005779",0,2,0,0,0,2
"ENSG00000005780",2,1,2,0,0,1
"ENSG00000005781",19,53,23,76,51,39
"ENSG00000005782",0,4,3,0,0,0
"ENSG00000005783",7,19,7,14,10,12
"ENSG00000005784",23,7,8,2,16,10
"ENSG00000005785",0,0,0,0,0,0
"ENSG00000005786",2,4,1,0,0,1
"ENSG00000005787",3,0,1,2,1,3
"ENSG00000005788",0,0,0,2,0,0
"ENSG00000005789",1,0,0,0,0,0
"ENSG00000005790",0,0,0,0,0,0
"ENSG00000005791",34,27,2,26,27,10
"ENSG00000005792",2,0,0,1,0,1
"ENSG00000005793",6,3,1,3,3,2
"ENSG00000005794",88,29,22,32,19,38
"ENSG00000005795",202,114,156,163,179,185
"ENSG00000005796",41,19,27,20,18,11
"ENSG00000005797",3,10,11,5,15,8
"ENSG00000005798",1,1,0,0,0,2
"ENSG00000005799",3,27,36,23,22,2
"ENSG00000005800",1,1,0,0,0,2
"ENSG00000005801",40,24,38,10,23,62
"ENSG00000005802",2,3,3,2,5,8
"ENSG00000005803",1194,1250,405,572,609,150
"ENSG00000005804",11,3,4,2,2,1
"ENSG00000005805",444,463,262,698,323,595
"ENSG00000005806",44,95,52,51,57,32
"ENSG00000005807",48,39,23,30,45,32
"ENSG00000005808",31,15,19,17,7,32
"ENSG00000005809",1,0,0,1,0,1
"ENSG00000005810",22,18,12,5,14,25
"ENSG00000005811",31,6,7,6,13,4
"ENSG00000005812",1057,2479,1286,942,1194,2102
"ENSG00000005813",0,0,0,0,0,1
"ENSG00000005814",25,9,16,19,6,14
"ENSG00000005815",15,21,12,24,15,21
"ENSG00000005816",306,1521,792,1810,1223,652
"ENSG00000005817",1,1,0,0,0,0
"ENSG00000005818",1,1,0,0,1,0
"ENSG00000005819",1,1,1,1,0,1
"ENSG00000005820",50,19,20,40,49,16
"ENSG00000005821",404,413,246,513,233,188
"ENSG00000005822",8,6,4,8,9,3
"ENSG00000005823",0,0,0,0,0,0
"ENSG00000005824",2,1,0,0,0,1
"ENSG00000005825",5,4,1,10,8,7
"ENSG00000005826",1,1,0,0,0,0
"ENSG00000005827",0,1,0,0,0,0
"ENSG00000005828",0,0,0,0,1,2
"ENSG00000005829",0,0,0,0,0,0
"ENSG00000005830",1613,906,1198,1585,1060,1016
"ENSG00000005831",0,1,0,1,0,0
"ENSG00000005832",1,1,1,1,0,1
"ENSG00000005833",162,81,285,399,422,384
"ENSG00000005834",1,3,0,0,0,1
"ENSG00000005835",0,0,0,0,0,0
"ENSG00000005836",2362,2209,1343,768,1887,921
"ENSG00000005837",123,109,90,178,53,155
"ENSG00000005838",5,14,6,15,7,6
"ENSG00000005839",3,1,0,0,1,1
"ENSG00000005840",0,0,0,1,1,0
"ENSG00000005841",18,5,0,0,1,1
"ENSG00000005842",468,574,539,511,871,456
"ENSG00000005843",441,233,271,454,262,138
"ENSG00000005844",0,0,0,0,0,0
"ENSG00000005845",1,1,0,1,0,0
"ENSG00000005846",1,2,0,1,0,0
"ENSG00000005847",0,1,0,2,1,2
"ENSG00000005848",599,413,275,252,455,197
"ENSG00000005849",190,201,207,374,264,501
"ENSG00000005850",108,77,29,24,21,45
"ENSG00000005851",9,2,2,2,3,3
"ENSG00000005852",7,2,4,8,10,8
"ENSG00000005853",0,0,1,2,0,0
"ENSG00000005854",0,0,0,0,0,0
"ENSG00000005855",0,2,0,0,0,1
"ENSG00000005856",13,16,7,18,7,10
"ENSG00000005857",74,77,37,99,61,77
"ENSG00000005858",1,1,0,0,0,1
"ENSG00000005859",7,1,9,7,3,7
"ENSG00000005860",0,1,0,0,2,2
"ENSG00000005861",0,0,0,1,1,1
"ENSG00000005862",281,289,102,325,210,176
"ENSG00000005863",0,1,0,2,0,1
"ENSG00000005864",150,87,252,140,130,145
"ENSG00000005865",70,107,16,102,41,46
"ENSG00000005866",1,0,1,0,0,0
"ENSG00000005867",28,13,26,50,26,10
"ENSG00000005868",0,0,1,2,0,1
"ENSG00000005869",1,1,1,1,1,0
"ENSG00000005870",34,121,86,78,44,53
"ENSG00000005871",3,6,3,1,9,6
"ENSG00000005872",4,6,2,5,5,1
"ENSG00000005873",1,2,2,0,1,0
"ENSG00000005874",40,27,22,12,34,53
"ENSG00000005875",0,2,0,2,0,1
"ENSG00000005876",0,2,2,0,2,1
"ENSG00000005877",1,1,2,0,2,1
"ENSG00000005878",761,181,190,651,753,400
"ENSG00000005879",67,137,69,46,13,9
"ENSG00000005880",5,13,6,14,13,10
"ENSG00000005881",1,0,1,1,0,1
"ENSG00000005882",0,1,0,0,1,1
"ENSG00000005883",0,0,0,0,0,0
"ENSG00000005884",202,236,128,117,135,146
"ENSG00000005885",102,49,105,138,94,112
"ENSG00000005886",1,0,0,0,0,0
"ENSG00000005887",0,0,1,0,0,0
"ENSG00000005888",1,0,2,0,1,0
"ENSG00000005889",0,0,0,0,0,0
"ENSG00000005890",10570,28727,8380,13267,5149,7320
"ENSG00000005891",25,7,8,22,13,22
"ENSG00000005892",1,0,1,0,0,1
"ENSG00000005893",1,1,0,0,0,1
"ENSG00000005894",1,0,0,0,0,1
"ENSG00000005895",2,0,0,1,0,0
"ENSG00000005896",35,56,35,41,19,40
"ENSG00000005897",1,0,0,1,2,1
"ENSG00000005898",10,13,1,15,6,5
"ENSG00000005899",0,1,0,0,1,0
"ENSG00000005900",0,1,0,1,0,1
"ENSG00000005901",60,135,87,69,191,112
"ENSG00000005902",15,5,10,7,0,4
"ENSG00000005903",1,0,0,1,1,1
"ENSG00000005904",180,92,74,121,206,82
"ENSG00000005905",7,30,7,12,5,5
"ENSG00000005906",0,1,1,0,2,0
"ENSG00000005907",756,423,154,508,378,416
"ENSG00000005908",0,1,0,2,0,0
"ENSG00000005909",58,30,13,11,14,10
"ENSG00000005910",0,0,0,0,0,0
"ENSG00000005911",312,426,560,369,161,208
"ENSG00000005912",0,0,0,1,0,0
"ENSG00000005913",5,5,2,6,4,3
"ENSG00000005914",2,0,2,8,7,0
"ENSG00000005915",1,0,1,0,0,0
"ENSG00000005916",0,0,1,0,1,0
"ENSG00000005917",0,0,0,0,0,0
"ENSG00000005918",24,19,7,22,8,16
"ENSG00000005919",11,10,4,29,14,12
"ENSG00000005920",2,1,0,0,0,1
"ENSG00000005921",190,289,238,344,52,95
"ENSG00000005922",0,1,1,0,0,0
"ENSG00000005923",21,8,8,20,3,17
"ENSG00000005924",87,100,39,93,142,115
"ENSG00000005925",0,0,0,0,2,0
"ENSG00000005926",98,140,202,196,270,95
"ENSG00000005927",3,0,0,0,0,2
"ENSG00000005928",0,1,0,0,1,0
"ENSG00000005929",0,0,1,1,0,0
"ENSG00000005930",1,1,1,0,0,1
"ENSG00000005931",42,64,13,29,19,30
"ENSG00000005932",1,0,1,3,1,0
"ENSG00000005933",0,1,1,0,0,0
"ENSG00000005934",3,7,2,3,5,1
"ENSG00000005935",0,0,0,0,0,1
"ENSG00000005936",11,23,9,4,11,8
"ENSG00000005937",175,62,52,101,49,78
"ENSG00000005938",0,0,0,0,0,1
"ENSG00000005939",11,12,1,14,9,9
"ENSG00000005940",201,228,286,145,255,563
"ENSG00000005941",99,74,69,195,43,260
"ENSG00000005942",0,0,0,1,1,1
"ENSG00000005943",0,1,1,0,0,0
"ENSG00000005944",0,0,0,0,3,1
"ENSG00000005945",0,1,0,0,0,2
"ENSG00000005946",7,9,2,7,8,5
"ENSG00000005947",0,2,0,0,4,1
"ENSG00000005948",3,0,0,2,0,2
"ENSG00000005949",1,3,2,0,2,2
"ENSG00000005950",1,0,2,1,0,0
"ENSG00000005951",156,122,99,89,63,217
"ENSG00000005952",2,1,0,0,0,1
"ENSG00000005953",195,162,94,256,204,141
"ENSG00000005954",1,0,0,0,0,0
"ENSG00000005955",1,0,0,1,1,1
"ENSG00000005956",2,0,0,0,0,1
"ENSG00000005957",1,3,5,1,5,0
"ENSG00000005958",0,0,0,0,0,0
"ENSG00000005959",14,14,16,17,25,18
"ENSG00000005960",1,7,2,7,3,12
"ENSG00000005961",0,2,0,0,0,0
"ENSG00000005962",1,0,0,0,5,2
"ENSG00000005963",0,0,0,0,0,0
"ENSG00000005964",302,118,196,417,231,115
"ENSG00000005965",0,0,0,0,0,0
"ENSG00000005966",2,1,0,0,2,0
"ENSG00000005967",8,2,3,4,0,2
"ENSG00000005968",40,45,48,57,84,28
"ENSG00000005969",1,0,1,3,0,4
"ENSG00000005970",2,1,0,0,0,0
"ENSG00000005971",35,31,14,24,13,14
"ENSG00000005972",0,0,0,0,0,0
"ENSG00000005973",5,6,4,3,0,3
"ENSG00000005974",133,105,145,100,95,89
"ENSG00000005975",212,149,389,300,368,184
"ENSG00000005976",72,84,83,45,21,44
"ENSG00000005977",0,0,1,2,0,1
"ENSG00000005978",1,0,0,1,1,0
"ENSG00000005979",1594,432,1084,480,469,282
"ENSG00000005980",0,0,1,0,0,0
"ENSG00000005981",12,35,23,7,19,26
"ENSG00000005982",0,0,2,0,1,1
"ENSG00000005983",1,0,2,1,3,0
"ENSG00000005984",1,3,0,0,0,2
"ENSG00000005985",144,59,68,62,77,64
"ENSG00000005986",5,6,4,9,11,1
"ENSG00000005987",2,1,5,2,3,2
"ENSG00000005988",48,64,66,33,40,76
"ENSG00000005989",2,0,5,7,2,4
"ENSG00000005990",383,392,212,104,259,100
"ENSG00000005991",18,7,17,15,13,14
"ENSG00000005992",0,0,0,0,1,0
"ENSG00000005993",1,0,0,0,0,1
"ENSG00000005994",0,0,1,1,0,2
"ENSG00000005995",4,12,3,6,8,6
"ENSG00000005996",0,0,1,1,1,0
"ENSG00000005997",1,1,0,1,0,1
"ENSG00000005998",0,0,1,1,0,1
"ENSG00000005999",1,1,0,0,0,0
"ENSG00000006000",1,0,1,1,1,2
"ENSG00000006001",29,3,12,20,38,28
"ENSG00000006002",5,3,1,3,4,1
"ENSG00000006003",2,3,5,3,2,5
"ENSG00000006004",0,0,0,0,1,1
"ENSG00000006005",24,10,11,12,14,2
"ENSG00000006006",14,13,5,3,14,9
"ENSG00000006007",0,0,2,0,0,3
"ENSG00000006008",2,0,0,0,0,0
"ENSG00000006009",1,3,0,0,0,0
"ENSG00000006010",0,0,0,0,1,0
"ENSG00000006011",67,175,278,209,54,109
"ENSG00000006012",0,1,0,1,1,0
